Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-07-18,36.24,36.6,35.485,35.661,-0.575,-1.59%,14563,106480
2025-07-17,36.62,37.025,36.2,36.236,-0.408,-1.11%,12671,106505
2025-07-16,36.64,36.935,36.275,36.644,0.102,+0.28%,13563,106849
2025-07-15,37.145,37.145,36.295,36.542,-0.848,-2.27%,13016,105516
2025-07-14,37.405,38.05,37.065,37.39,-0.029,-0.08%,12895,103431
2025-07-11,37.2,37.56,36.74,37.419,0.244,+0.66%,14775,102437
2025-07-10,36.8,37.375,36.8,37.175,0.67,+1.84%,14486,101005
2025-07-09,36.475,36.94,36.375,36.505,0.199,+0.55%,9476,101583
2025-07-08,36.42,36.655,35.925,36.306,0.208,+0.58%,14945,101213
2025-07-07,36.04,36.5,35.64,36.098,0.047,+0.13%,7817,101289
2025-07-04,36.3,36.4,35.875,36.051,-0.044,-0.12%,6714,100950
2025-07-03,36.15,36.585,35.845,36.095,0.048,+0.13%,13737,100594
2025-07-02,36.12,36.55,35.75,36.047,0.241,+0.67%,20092,100167
2025-07-01,35.3,36.055,34.995,35.806,0.644,+1.83%,16680,100784
2025-06-30,35.595,35.765,34.875,35.162,-0.738,-2.06%,17609,100702
2025-06-27,36.75,36.9,35.7,35.9,-0.83,-2.26%,23628,102595
2025-06-26,37.82,38.025,36.325,36.73,-1.081,-2.86%,25532,101571
2025-06-25,37.64,38.26,37.5,37.811,0.025,+0.07%,18986,101787
2025-06-24,38.15,38.88,37.115,37.786,-4.515,-10.67%,35641,102612
2025-06-23,43.835,43.835,42.105,42.301,-0.579,-1.35%,21683,101460
2025-06-20,42.36,43.13,41.635,42.88,-0.526,-1.21%,21918,99233
2025-06-19,41.515,43.605,41.405,43.406,2.707,+6.65%,19870,97400
2025-06-18,41.375,42.215,40.64,40.699,-0.427,-1.04%,22863,96387
2025-06-17,40.28,41.41,40.045,41.126,1.268,+3.18%,17590,94086
2025-06-16,40.22,41.37,39.27,39.858,0.281,+0.71%,26217,94477
2025-06-13,39.795,40.31,38.795,39.577,1.583,+4.17%,26616,96083
2025-06-12,38.155,38.21,37.47,37.994,0.335,+0.89%,10387,94712
2025-06-11,36.915,37.735,36.915,37.659,1.088,+2.98%,14828,95117
2025-06-10,37.39,37.4,36.39,36.571,-0.837,-2.24%,11679,93637
2025-06-09,38.1,38.1,37.225,37.408,-0.463,-1.22%,10084,94611
2025-06-06,38.01,38.265,37.415,37.871,-0.006,-0.02%,12066,94385
2025-06-05,37.315,38.115,37.31,37.877,0.638,+1.71%,10504,94285
2025-06-04,37.75,38.035,37.025,37.239,-0.295,-0.79%,10736,93489
2025-06-03,36.94,37.745,36.655,37.534,0.823,+2.24%,11771,92379
2025-06-02,36,37.135,36,36.711,0.781,+2.17%,12981,92699
2025-05-30,36.66,37.045,35.635,35.93,-1.066,-2.88%,12242,92417
2025-05-29,38.53,38.61,36.7,36.996,-1.291,-3.37%,12364,91499
2025-05-28,38.16,38.685,38.07,38.287,-0.237,-0.62%,11928,90675
2025-05-27,38.86,39.425,38.115,38.524,-0.445,-1.14%,11422,89958
2025-05-26,38.775,39.19,38.425,38.969,0.835,+2.19%,4625,90151
2025-05-23,37.905,38.42,37.265,38.134,0.215,+0.57%,13318,89481
2025-05-22,38.1,38.53,37.695,37.919,-0.257,-0.67%,11611,89733
2025-05-21,38.8,39.165,38.055,38.176,-0.235,-0.61%,13659,90152
2025-05-20,36.995,38.55,36.95,38.411,1.431,+3.87%,13738,89813
2025-05-19,36.96,37.2,36.55,36.98,-0.004,-0.01%,6795,89183
2025-05-16,36.955,37.625,36.64,36.984,-0.078,-0.21%,9377,89549
2025-05-15,37.225,37.49,36.27,37.062,0.174,+0.47%,10991,88919
2025-05-14,37.505,37.505,36.35,36.888,-0.534,-1.43%,11067,89889
2025-05-13,36.95,37.84,36.905,37.422,0.242,+0.65%,10767,90573
2025-05-12,37.12,37.98,36.7,37.18,0.765,+2.10%,13738,92087
2025-05-09,37.62,37.62,36.15,36.415,-0.532,-1.44%,11959,91975
